id,label,obsolete,ordering
fragmenttype,Fragment,0,0
websiteConfig,Options de site web,0,0
pagetemplate,Template portail,0,0
regionlayout,Colonnage de régions,0,0
pagetheme,Thème,0,0
windowstyle,Style CSS de boîte,0,0
listtemplate,Modèle de liste,0,0
zoomtemplate,Modèle de zoom,0,0
linkstemplate,Modèle de liste de liens,0,0
slidertemplate,Modèle de carousel,0,0
